,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Handle (Name),TikTok,Insta,YT,Total followers,Background/Affiliation,Key Content & Audience,Engagement/Interaction,Additional Notes,TikTok account,Insta account,YT account,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
Garden State,417200,403000,27400,847600,"""A Podcast About the People Shaping the Garden State""","Politics/elections, Crime, new businesses, accidents. No obvious political leaning. Quirky, attention-grabbing news stories, like bear in a convenience store or kid stuck on a bus for five hours",Thousands of likes for most posts and hundreds of comments.,"Basically clips from their podcast, some white dudes read some news out loud and riff on it.  They don't disclose the news source they are reading from. They have some merch. It's more than one influencer...but definitely not a newsroom in the traditional sense. Sometimes they stitch in news video from a local broadast station.",https://www.tiktok.com/@thegardenstatepodcast?lang=en,https://www.instagram.com/thegardenstate/?hl=en,https://www.youtube.com/c/TheGardenState,,,,,,,,,,,,,,
Hoboken Girl (Jennifer Tripucka and team) ,32600,447000,0,479600,"The Hoboken Girl site was originally founded in 2012 by Jennifer Tripucka as a personal blog, now a team of five.""lifestyle media site all about Hoboken + Jersey City""","Light local news in Hoboken and Jersey city. Fun things to do. Info about new restaurants. Promoting local restaurants, businesses. Happenings about town.","Strong engagement. Some posts get over 10k likes. Comments generally tame, apolitical. Local fans.",Also has a Montclair Girl site. Good example of making a successful business out of this type of content. Could make sense as a local news collaborator b/c it has trust and is news-adjacent.,https://www.tiktok.com/@thehobokengirl?lang=en,https://www.instagram.com/thehobokengirl/?hl=en,,,,,,,,,,,,,,,
Christine Eliza,79500,177000,202,256702,"""Your NJ Bestie"" ""Nature loving Latina"" ","Locations to visit, foods/restaurants to try, events to go to in NJ. IRL meetups occassionally. Service features.",High engagement. Thousands of likes and hundreds of comments. Looks like partnerships with Heineken and others possibly.,"says is open to collabs. Some posts are just a series of photos with music and captions with travel advice, some are videos. Non-political. Helpful, service-oriented. Jersey proud.",https://www.tiktok.com/@christineelliza?lang=en,https://www.instagram.com/christineelliza/,https://www.youtube.com/@christineelliza,,,,,,,,,,,,,,
Pustika Samara @pustika_samaddar,,123000,,123000,"""TRAVEL CREATOR ||NY || NJ || PA || DE"" Lives in Wilmington. ""I love exploring small town, charming main streets, hidden gems, attainble getaways and sharing my experiences with my online community""","Small Towns, Hidden gems, Getaways, Tourism, events in the region",Likes in the hundreds and comments in the tens.,Philly mag Travel Influencer Award Winner 2023🏆Seems like could be a an obvious collab as a news-adjacent poster,,https://www.instagram.com/pustika_samaddar/?hl=en,,,,,,,,,,,,,,,
Jersey Joe,6900000,1200000,151000,8251000,Graduated Monclair State last year.  Featured in Montclairion and by the university. ,"Dance, local businesses","lots of likes, comments, etc. ",Lots of videos of him just dancing by himself or a couple of friends. Some include specifics about what he he wearing - partnership with NovaMEN/Tyson? Not much variety per se. This guy is not really a news influencer by our definitions - included him for now in this only because impressive following from a definitely local Gen Zer.,https://www.tiktok.com/@jerseyyjoe?lang=en,https://www.instagram.com/jerseyyjoe/?hl=en,https://www.youtube.com/@jerseyyjoe,,,,,,,,,,,,,,
Joe Bartolozzi,24800000,1100000,3440000,29340000,He grew up in NJ - if he lives here currently is a question. Not a lot of bio info available. ,"*some* NJ content but that is not the focus - drones, NJ Devil Hunters. Mental health/suicide prevention, random rants about things that annoy him e.g. booze kills more people than weed. Does say he is liberal in one election message but that is not his overall message. ","tons of interaction, likes, comments, etc.","Started as a gamer/Twitch and has expanded beyond that to somewhat random rants. He is not a news influencer, probably doesn't fit the scope of the project, but was interesting given the sheer size of his following. ",https://www.tiktok.com/@joe.bartolozzi?lang=en,https://www.instagram.com/joe.bartolozzi/?hl=en,https://www.youtube.com/@JoeBartolozzi,,,,,,,,,,,,,,
"Graham Colligan, Towns of NJ ",639000,,,639000,"Founder is Graham Colligan, who says he is ""making social, local & building govtech in the burbs."" Lives in Glen Rock. Is planning to launch a local events platform for the suburbs + small cities.","Crime, accidents, local businesses, elections/politics (not partisan)","Not a ton of comments, likes, though there are a few. ","Many short clips with a snippet of news and a photo and weird music. ""Organically generating 15M views monthly by posting local news online."" Quite a few candidates for gov sat down with him to answer some rapid fire questions. Most news seems to come from trad sources, but he doesn't ID the source.",https://www.tiktok.com/@townsofnewjersey?lang=en,,,,,,,,,,,,,,,,
Bobby bobbyzworld90,53000,4164,0,57164,"Millennial. Says he is gay from evangelical background, theater major, was in a frat","His view on things happening in NJ (elections), personal stories, light humor, commentary on national news - liberal leaning, although didn't seem wildly left in opinions (criticizes the chronically online left), and often backs up opinions with some facts/info/news","lots of comments, likes, etc","Him talking into camera. one personal story about past relationships, coming out. Some are fairly long, some v. short. Fairly good explainer about a lawsuit related to Cherry Hill's ballot, although he talks pretty fast. Says he doesn't want to get into political debates/arguments online. Analysis of NYC mayoral race. Shows news stories behind him when he talks, in most cases can identify the source, in one case he specifically identified NJ.com and NJ Globe. Dramatic reading of a text Mike Huckabee sent to Trump. Shows some tweets while talking. Good analysis of who could take Sherrill's seat if she wins Gov. seat.",https://www.tiktok.com/@bobbyzworld90,https://www.instagram.com/bobbyzworld90/,,,,,,,,,,,,,,,
No Regulars Podcast,619500,34000,"14,400",667900,"Their bio: Inside the minds of a group of friends, No Regulars Podcast is hosted by Darris Watkins and a cast of many interesting individuals who believe and talk about things most normal people don't discuss..Join us as we bring along you guys on a roller coaster of a journey where we discuss topics that range from conspiracy theories and crazy unknown stories of the world we live in, to debatable funny topics that can either spark up some laughs or ruin our friendship.","Wide ranging, but they do talk about New Jersey Talk - new fast food resturants, ranking surrounding towns, dirtiest city in NJ, etc.",quite a bit of likes and comments,"They are based in Jersey and they do sometimes but not regularly talk about it, but the local news connection here is slim. Wide range of random topics like: What video game would you like to put into a movie? ",https://www.tiktok.com/@noregulars?lang=en,https://www.instagram.com/noregulars.podcast/?hl=en,https://www.youtube.com/NoRegularsPodcast,,,,,,,,,,,,,,
megthings_,112500,261000,,373500,Bio:  NJ Content Creator. ifestyle • food • fashion • fun," Lots of info on restaurants, Jersey Shore, meal ideas, all kinds of local content",Lots of comments and likes,"Not ""news"" in the traditional sense but definitely very NJ and very popular, particuarly among middle-aged women",https://www.tiktok.com/@megthings_,https://www.instagram.com/megthings_/?hl=en,,,,,,,,,,,,,,,
teacherpaywithk,37600,18300,171,56071,"teacher in NJ, local union president ","""current events and politics"" in her own words. recaps of gov debate. ",Lots of affirming comments and likes although varies,"Has liberal point of view - does back with specific facts in many cases, clips from debates etc. Not fully NJ focused, talks about major governor's races in other states, teachers strikes in other states. ",https://www.tiktok.com/@teacherpaywithk,https://www.instagram.com/teacherpaywithk/?hl=en,https://www.youtube.com/@TeacherPayWithK,,,,,,,,,,,,,,
teacher in nj,30000,20200,,50200,teacher in NJ,"education commentary from a conservative perspective. School funding in nj, political opinon, other state budget issues, some general New Jersey news",substantial engagement ,"She is digging fairly deep into budget minutae...not a lot of transparency on how she knows what she knows, but possible she pre-established that. Invites readers to comment with anything she missed. Uses #conservative and #murphyhasgotto #tapintoit tags She posts A LOT. Asks for verification about something specific she isn't sure about. She gets requests to talk about specific districts and cuts. Discloses use of ChatGPT...I would not have trusted it for what she used it for, but it is disclosed.",https://www.tiktok.com/@teacher_in_nj/video/7559551209154120990,https://www.instagram.com/p/DPjyhjsCXf1/,,,,,,,,,,,,,,,
The Montclair Pod,,8548,,8548," A podcast that explores the news and culture of Montclair, NJ.","education, food, real estate, small business, the arts","some get a fair number of comments, obviously the missing money in the school board budget is hot button","Professional, very newsy, mix of both hard news and lifestyle. Stefanie flagged this one as quickly growing. ",,https://www.instagram.com/themontclairpod/?hl=en,,,,,,,,,,,,,,,
Kate Watt Photo,12700,"34,800",,47500,photographer,Mostly photos and drone videos of Jersey Shore beaches,a fair amount of likes and comments considering this is mostly visual,"Does updates on big news related to Jersey Shore, forecast when the nor'easter blows through",https://www.tiktok.com/@katewattphotoo,https://www.instagram.com/katewattphoto/?hl=en,,,,,,,,,,,,,,,
lexlivinglife - NJ Eats,108100,"83,700",,191800,"New Jersey lifestyle and foodie, NJ content creator","restaurants mostly but other things as well, spas, dog trainers, etc.",lots of comments and likes,,https://www.tiktok.com/@lexlivinglife?lang=en,https://www.tiktok.com/@lexlivinglife?lang=en,,,,,,,,,,,,,,,
The Drop Podcast,,"12,900",14200,27100,All things golf in New Jersey. Mike Puorro & Ryan Kulat,"Golf, interviews with golf-related people, history of golf courses",Most posts 50 to 100 likes and a handful of comments,"Newsy, chatty podcasts. No attribution but does some original reporting and interviews",,https://www.instagram.com/thedrop_pod/,https://www.youtube.com/@thedropgolfpodcast,,,,,,,,,,,,,,
Jersey Sports Zone,43200,42400,134000,219600,Jersey Sports Zone puts its emphasis on  high definition video highlights and features of New Jersey high school sports.   ,High school sports,"lots of interaction, hundreds of comments","This is more of an org than an influencer so may not meet our criteria. However, it is interesting becuase it's not quite like a traditional news org per se. Jersey Sports Zone is supported by sponsors.  That’s done by having local businesses support their hometown team and statewide sponsors who allow us to showcase the top moments from New Jersey high school sports.  Every day when we look at the schedule of games around the state, our top priority is to serve the sports and teams that have sponsors.",https://www.tiktok.com/@jsz_sports?lang=en,https://www.instagram.com/jerseysportszone/?hl=en,https://www.youtube.com/c/JerseySportsZone,,,,,,,,,,,,,,
New Jersey Shade,,388000,,388000,Ran By Our 388k+ New Jerseyans For All Inquiries Contact @amdirection,Wide range of topics. Video and image-oriented. Crazy Jersey and Only In Jersey vibes.,Tens and hundreds of thousands of likes. Personal injury solicitations. Looks like linked to a personal injury lawyer.,"This may not fit our criteria, but is notable given the huge following and the fact that it really is very local. Lots of party promo types of stuff. ",,https://www.instagram.com/newjerseyshade/?hl=en,,,,,,,,,,,,,,,
NJ Takedown,,12700,,12700,"Powered by: @njathletics
Presented by: @adidaswrestling",Anything wrestling in New Jersey current and former. Video clips of NJ wrestlers. Top ten lists.,"500 to 1,000 likes. Handful of comments.",,,https://www.instagram.com/njtakedown/,,,,,,,,,,,,,,,
Jersey Talks,42300,40300,,82600,"New Jersey’s #1 News | Entertainment | Memes | More 18+
Not Your Typical Boring News Source 🤷🏽‍♂️
The Good, The Bad, The Funny 😅","Crazy Jersey content. Video-led, dash-cam footage of crazy drivers. Some Trump news. Some Things to Do This Weekend. Current events, crime, funny videos",Thousands of likes and hundreds of comments. Lots of engagement.,"not ""news influncers"" but a very well followed and engaged with account that is very NJ centric",https://www.tiktok.com/@jerseytalksnet,https://www.instagram.com/jerseytalks/?hl=en,,,,,,,,,,,,,,,
NJ Athletics,166,78400,908,79474,New Jersey sports at its finest!🔥,"Covers athletes in NJ, all sports",Up to 1000 likes on many posts. A handful of comments.,Video clips of NJ college and HS athletes in action. Lists of top ten athletes in various sports.,https://www.tiktok.com/@njathletics,https://www.instagram.com/njathletics/,https://www.youtube.com/channel/UCHm8EfyEvJf9jc3eys9U-bQ,,,,,,,,,,,,,,
@jersey__news,138,158000,,158138,"Fan submitted NJ News. "" Breaking news coverage of crimes fires accidents""","Lots of traffic videos, only in Jersey.  Lots of truck driver submitted vidoes and issues affecting truckers. Ice arrest videos.",Strong engagment. Some posts get over 3K likes.,Anti-illegal immigration.,https://www.tiktok.com/@jersey__news,https://www.instagram.com/jersey__news/?hl=en,,,,,,,,,,,,,,,
SP Sullivan - NJ dot com,266,3972,,4238,"Nationally recognized local news guy you never heard of, @njdotcom reporter, maker, somebody’s weird dad. You can call me Sean.","Range of NJ stories. Events, crime, features, NJ festivals and road updates weird NJ, politics, personal life including baby shots, ",Low engagement for most posts but some hit it. One pinned post has over 100k likes. Another about not being able to make a left in NJ got 17.4K likes,Me and my family and the state I cover. Funny and fun. Things that affect all New Jerseyans.,,https://www.instagram.com/spsulliv/?hl=en,https://www.tiktok.com/@spsulliv,,,,,,,,,,,,,,
marmodernvibes,2759,21500,27,24286,"☕ Explore the Best NJ Coffee Shops & Restaurants
📚 Bookstores & NJ Hidden Gems
🎡 Family-Friendly Activities in NJ Sharing lifestyle content such as mom hacks, productivity, recipes and home decor in hopes to inspire you.",Pix inside different coffee shops and cafes throughout NJ.,Likes in the hundreds and comments in the tens.,Tone is helpful. Emphasis on pretty things.,https://www.tiktok.com/@marmodernvibes,https://www.instagram.com/marmodernvibes/,https://www.youtube.com/channel/UCLRb09r0zq1CPUOKZRsStrg/about,,,,,,,,,,,,,,
@staceyakawannabefoodie,11200,,,11200,Just a Jersey📍girl who loves to eat ,food fesitvals and restaurants in NJ,Average about 100 likes and under 50 comments.,Tone is Helpful. Friendly. Amateur foodie.,,https://www.instagram.com/staceyakawannabefoodie/?hl=en,,,,,,,,,,,,,,,
Aiyana Figueroa @aiyanafig,17500,797000,1370,815870,"NJ Model / Content Creator / Lifestyle Blogger 📍 NJ, NY, FL & 🌎✈️
🌆 Must Visits, Food, Fashion & Beauty ✨","must try places in NJ. Promotional, informative things to do in and around NJ. Shopping, eating, drinking.",Good engagement. Likes in teh thousands and comments in the tens.,,https://www.tiktok.com/@aiyanafig,https://www.instagram.com/aiyanafig/,https://www.youtube.com/@aiyanafig/featured,,,,,,,,,,,,,,
